trail_id,user_id,condition_report,datetime
17,23,Tree down across main path,2018-11-09 12:06:01
31,19,Breeze felt great,2019-04-01 14:46:18
45,38,Icy and slippery,2019-02-16 20:44:55
28,25,Breeze felt great,2018-11-26 5:51:59
11,26,Tree down across main path,2018-11-27 18:56:03
44,43,Windy day,2019-06-18 5:56:00
19,13,A little chilly but nice,2019-04-12 19:26:50
4,36,Breeze felt great,2019-07-22 13:50:43
7,9,Muddy,2019-03-06 11:36:55
55,30,Wet and muddy,2019-05-12 13:03:05
1,5,Windy day,2019-07-27 19:18:36
22,5,A little chilly but nice,2019-05-06 8:40:52
61,19,Icy and slippery,2019-02-20 6:53:32
53,10,Snowy,2019-03-04 6:46:46
23,43,Chilly in shade,2019-04-25 17:04:37
57,44,A little chilly but nice,2019-05-11 18:39:22
29,39,A little chilly but nice,2019-04-25 6:46:00
22,31,Windy day,2019-04-19 11:32:12
76,8,chilly in shade,2019-06-22 13:38:18
75,17,Snowy,2019-02-05 06:02:10
65,30,windy,2019-06-29 08:38:01
74,31,Snowy,2019-04-11 09:39:23
96,38,Snowy,2019-04-11 01:41:40
88,14,A little chilly but nice,2018-12-29 00:39:03
75,11,Windy day,2018-12-14 04:23:24
65,22,Chilly in shade,2019-06-16 11:55:58
68,6,Snowy,2019-01-17 20:48:57
82,17,A little chilly but nice,2019-07-27 01:21:36
94,25,Snowy,2019-02-18 02:32:06
80,10,Snowy,2019-03-12 06:44:33
69,32,A little chilly but nice,2019-06-11 01:54:22
75,1,Tree down across main path,2019-03-17 01:41:09
91,7,Snowy,2019-02-14 09:00:04
82,43,Chilly in shade,2019-05-02 10:39:26
88,18,Snowy,2019-01-07 05:47:31
83,42,Snowy,2019-01-20 04:09:21
81,15,Great and sunny!,2019-06-07 20:46:57
74,20,Chilly in shade,2019-04-09 17:10:08
93,40,A little chilly but nice,2019-06-23 02:43:19
69,34,A little chilly but nice,2019-07-22 04:08:16
69,24,A little chilly but nice,2019-06-02 02:55:03
82,43,Snowy,2019-01-20 16:05:37
82,29,Icy and slippery,2018-12-19 21:04:57
66,8,Icy and slippery,2019-02-08 09:40:51
67,28,Icy and slippery,2019-01-17 23:06:20
62,47,Icy and slippery,2018-11-25 15:09:44
83,22,Icy and slippery,2019-04-13 02:21:46
82,1,Icy and slippery,2019-03-24 07:26:10
66,17,Icy and slippery,2018-12-20 19:17:02
76,36,A little chilly but nice,2019-05-17 17:29:06
77,6,Icy and slippery,2019-01-27 23:11:30
68,20,A little chilly but nice,2019-07-22 02:59:51
88,8,Icy and slippery,2019-02-10 11:32:54
63,47,Sunny,2019-07-12 20:56:02
91,14,No shade! Hot,2019-06-05 01:33:08
92,11,Snowy,2019-01-30 21:26:31
69,31,A little chilly but nice,2019-06-22 20:13:18
72,23,Snowy,2019-01-18 00:34:24
91,46,Snowy,2019-02-25 19:11:46
66,22,Snowy,2019-01-20 06:09:02
64,32,A little chilly but nice,2019-05-04 02:30:33
81,24,Snowy,2019-01-16 21:38:46
81,45,Snowy,2019-02-20 21:44:11
73,48,Snowy,2018-11-10 00:35:43
84,9,Snowy,2019-03-10 13:30:29
65,33,A little chilly but nice,2019-06-08 20:23:47
66,50,Sunny!,2019-06-20 01:48:55
76,43,Sunny!,2019-04-10 21:30:57
81,43,Sunny,2019-05-06 07:42:18
82,39,Sunny,2019-07-24 20:12:57
90,2,Sunny,2019-07-15 18:32:40
94,5,Breeze felt great,2019-04-21 06:26:55
67,29,Snowy,2019-02-03 23:36:35
94,18,Muddy,2019-06-07 04:50:17
94,4,Muddy,2018-11-06 10:49:53
95,22,Snowy,2019-01-07 22:34:30
77,47,Muddy,2019-07-11 16:11:31
96,37,Muddy,2019-06-10 23:39:32
96,24,Muddy,2019-07-27 10:01:18
65,37,Snowy,2018-12-24 07:39:11
72,45,Snowy,2019-03-20 04:39:15
89,43,Muddy,2019-06-17 02:45:05
86,20,Snowy,2018-11-26 03:33:19
73,7,Breeze felt great,2019-05-05 17:25:47
84,12,Breeze felt great,2019-06-04 08:52:44
94,41,Snowy,2018-12-15 15:41:41
81,18,Icy and slippery,2018-11-08 06:13:32
63,26,Icy and slippery,2018-11-13 14:55:02
82,40,Muddy,2019-06-04 17:05:35
75,38,Muddy,2019-07-20 23:04:02
70,48,Muddy,2019-06-14 12:16:52
79,45,Icy and slippery,2018-11-18 23:16:35
